Movie Name,Storyline,clean_story
The Apprentice,"A young man took over his father's real-estate business in 1970s and '80s New York, and got the helping hand of an infamous closeted gay lawyer who helped him turn this young man into a notorious legend. Based on true events.",young man took father realestate business new york got helping hand infamous closeted gay lawyer helped turn young man notorious legend based true event
The Idea of You,"Solène, a 40-year-old single mom, begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet.",solne yearold single mom begin unexpected romance yearold hayes campbell lead singer august moon hottest boy band planet
The Beekeeper,A former operative of a powerful organization embarks on a brutal campaign for vengeance.,former operative powerful organization embarks brutal campaign vengeance
Wolfs,"Two rival fixers cross paths when they're both called in to help cover up a prominent New York official's misstep. Over one explosive night, they'll have to set aside their petty grievances and their egos to finish the job.",two rival fixer cross path theyre called help cover prominent new york official misstep one explosive night theyll set aside petty grievance ego finish job
Small Things Like These,In 1985 devoted father Bill Furlong discovers disturbing secrets kept by the local convent and uncovers shocking truths of his own.,devoted father bill furlong discovers disturbing secret kept local convent uncovers shocking truth
We Bury the Dead,"After a catastrophic military disaster, the dead don't just rise - they hunt. Ava searches for her missing husband, but what she finds is far more terrifying.",catastrophic military disaster dead dont rise hunt ava search missing husband find far terrifying
Speak No Evil,"A family is invited to spend a whole weekend in a lonely home in the countryside, but as the weekend progresses, they realize that a dark side lies within the family who invited them.",family invited spend whole weekend lonely home countryside weekend progress realize dark side lie within family invited
MaXXXine,"In 1980s Hollywood, adult film star and aspiring actress Maxine Minx finally gets her big break. But as a mysterious killer stalks the starlets of Hollywood, a trail of blood threatens to reveal her sinister past.",hollywood adult film star aspiring actress maxine minx finally get big break mysterious killer stalk starlet hollywood trail blood threatens reveal sinister past
Borderlands,"An infamous bounty hunter returns to her childhood home, the chaotic planet Pandora, and forms an unlikely alliance with a team of misfits to find the missing daughter of the most powerful man in the universe.",infamous bounty hunter return childhood home chaotic planet pandora form unlikely alliance team misfit find missing daughter powerful man universe
Flow,"Cat is a solitary animal, but as its home is devastated by a great flood, he finds refuge on a boat populated by various species, and will have to team up with them despite their differences.",cat solitary animal home devastated great flood find refuge boat populated various specie team despite difference
Road House,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems.",exufc fighter dalton take job bouncer florida key roadhouse discover paradise seems
Furiosa: A Mad Max Saga,"After being snatched from the Green Place of Many Mothers, while the tyrants Dementus and Immortan Joe fight for power and control, the young Furiosa must survive many trials as she puts together the means to find her way home.",snatched green place many mother tyrant dementus immortan joe fight power control young furiosa must survive many trial put together mean find way home
Immaculate,"Cecilia, a woman of devout faith, is warmly welcomed to the picture-perfect Italian countryside where she is offered a new role at an illustrious convent. But it becomes clear to Cecilia that her new home harbors dark and horrifying secrets.",cecilia woman devout faith warmly welcomed pictureperfect italian countryside offered new role illustrious convent becomes clear cecilia new home harbor dark horrifying secret
Trap,A father and his teen daughter attend a pop concert only to realize they've entered the center of a dark and sinister event.,father teen daughter attend pop concert realize theyve entered center dark sinister event
Juror #2,"While serving as a juror in a high-profile murder trial, a family man finds himself struggling with a serious moral dilemma, one he could use to sway the jury verdict and potentially convict or free the wrong killer.",serving juror highprofile murder trial family man find struggling serious moral dilemma one could use sway jury verdict potentially convict free wrong killer
Twisters,"Kate Carter, a retired tornado-chaser and meteorologist, is persuaded to return to Oklahoma to work with a new team and new technologies.",kate carter retired tornadochaser meteorologist persuaded return oklahoma work new team new technology
The Count of Monte-Cristo,"After escaping from an island prison where he spent 14 years for being wrongly accused of state treason, Edmond Dantès returns as the count of Monte Cristo to exact revenge on the men who betrayed him.",escaping island prison spent year wrongly accused state treason edmond dants return count monte cristo exact revenge men betrayed
The Watchers,"A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night.",young artist get stranded extensive immaculate forest western ireland finding shelter becomes trapped alongside three stranger stalked mysterious creature night
Venom: The Last Dance,Eddie Brock and Venom must make a devastating decision as they're pursued by a mysterious military man and alien monsters from Venom's home world.,eddie brock venom must make devastating decision theyre pursued mysterious military man alien monster venom home world
Joker: Folie à Deux,"Struggling with his dual identity, failed comedian Arthur Fleck meets the love of his life, Harley Quinn, while incarcerated at Arkham State Hospital.",struggling dual identity failed comedian arthur fleck meet love life harley quinn incarcerated arkham state hospital
Tell Me What You Want,"After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. Eric fears his secret may end their affair.",father death eric zimmerman travel spain oversee company branch madrid fall judith engage intense erotic relationship full exploration eric fear secret may end affair
Subservience,"A struggling father purchases a domestic SIM to help care for his family, unaware she will gain self-awareness.",struggling father purchase domestic sim help care family unaware gain selfawareness
Sonic the Hedgehog 3,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched, Team Sonic must seek out an unlikely alliance.",sonic knuckle tail reunite powerful new adversary shadow mysterious villain power unlike anything faced ability outmatched team sonic must seek unlikely alliance
The Order,A series of bank robberies and car heists frightens communities in the Pacific Northwest. A lone FBI agent believes that the crimes were not the work of financially motivated criminals but rather a group of dangerous domestic terrorists.,series bank robbery car heist frightens community pacific northwest lone fbi agent belief crime work financially motivated criminal rather group dangerous domestic terrorist
Kraven the Hunter,"Kraven's complex relationship with his ruthless father, Nikolai Kravinoff, starts him down a path of vengeance with brutal consequences, motivating him to become not only the greatest hunter in the world, but also one of its most feared.",kravens complex relationship ruthless father nikolai kravinoff start path vengeance brutal consequence motivating become greatest hunter world also one feared
Inside Out 2,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced.",sequel feature riley entering puberty experiencing brand new complex emotion result riley try adapt teenage year old emotion try adapt possibility replaced
Carry-On,A mysterious traveler blackmails a young TSA agent into letting a dangerous package slip through security and onto a Christmas Eve flight.,mysterious traveler blackmail young tsa agent letting dangerous package slip security onto christmas eve flight
A Quiet Place: Day One,A young woman named Sam finds herself trapped in New York City during the early stages of an invasion by alien creatures with ultra-sensitive hearing.,young woman named sam find trapped new york city early stage invasion alien creature ultrasensitive hearing
Damsel,"A dutiful damsel agrees to marry a handsome prince, only to find the royal family has recruited her as a sacrifice to repay an ancient debt.",dutiful damsel agrees marry handsome prince find royal family recruited sacrifice repay ancient debt
Rebel Ridge,A former Marine grapples his way through a web of small-town corruption when an attempt to post bail for his cousin escalates into a violent standoff with the local police chief.,former marine grapple way web smalltown corruption attempt post bail cousin escalates violent standoff local police chief
Smile 2,"About to embark on a world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her past.",embark world tour global pop sensation skye riley begin experiencing increasingly terrifying inexplicable event overwhelmed escalating horror pressure fame skye forced face past
A Real Pain,"Mismatched cousins reunite for a tour through Poland to honor their beloved grandmother, but their old tensions resurface against the backdrop of their family history.",mismatched cousin reunite tour poland honor beloved grandmother old tension resurface backdrop family history
Fly Me to the Moon,"Marketing maven Kelly Jones wreaks havoc on NASA launch director Cole Davis's already difficult task. When the White House deems the mission too important to fail, the countdown truly begins.",marketing maven kelly jones wreaks havoc nasa launch director cole davis already difficult task white house deems mission important fail countdown truly begin
I Was a Stranger,"Five strangers are pulled together, colliding on a single night where survival is uncertain.",five stranger pulled together colliding single night survival uncertain
The Luckiest Man in America,May 1984. An unemployed ice cream truck driver steps onto the game show Press Your Luck harboring a secret: the key to endless money. But his winning streak is threatened when the bewildered executives uncover his real motivations.,may unemployed ice cream truck driver step onto game show press luck harboring secret key endless money winning streak threatened bewildered executive uncover real motivation
Dooba Dooba,In-home security cameras watch as an awkward sixteen year old girl terrorizes her well meaning babysitter.,inhome security camera watch awkward sixteen year old girl terrorizes well meaning babysitter
Caddo Lake,"When an 8-year-old girl disappears on Caddo Lake, a series of past deaths and disappearances begin to link together, altering a broken family's history.",yearold girl disappears caddo lake series past death disappearance begin link together altering broken family history
Presence,A family becomes convinced they are not alone after moving into their new home in the suburbs.,family becomes convinced alone moving new home suburb
Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana must journey to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",receiving unexpected call wayfinding ancestor moana must journey far sea oceania dangerous longlost water adventure unlike anything shes ever faced
IF,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.,young girl go difficult experience begin see everyones imaginary friend left behind reallife friend grown
Madame Web,"Forced to confront her past, Cassandra Webb, a Manhattan paramedic that may have clairvoyant abilities, forms a relationship with three young women destined for powerful futures, if they can survive their threatening present.",forced confront past cassandra webb manhattan paramedic may clairvoyant ability form relationship three young woman destined powerful future survive threatening present
Elevation,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,single father two woman venture safety home face monstrous creature save life young boy
From the Ashes,"A seemingly normal school day ends in unthinkable disaster when a mysterious fire breaks out in the school basement. Chaos, panic and confusion prevail among students and teachers.",seemingly normal school day end unthinkable disaster mysterious fire break school basement chaos panic confusion prevail among student teacher
Kingdom of the Planet of the Apes,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike.",many year reign caesar young ape go journey lead question everything he taught past make choice define future ape human alike
Love Lies Bleeding,"Reclusive gym manager Lou falls hard for Jackie, an ambitious bodybuilder headed through town to Vegas in pursuit of her dream. But their love ignites violence, pulling them deep into the web of Lou's criminal family.",reclusive gym manager lou fall hard jackie ambitious bodybuilder headed town vega pursuit dream love ignites violence pulling deep web lous criminal family
The Last Showgirl,A seasoned showgirl must plan for her future when her show abruptly closes after a 30-year run.,seasoned showgirl must plan future show abruptly close year run
Kung Fu Panda 4,"After Po is tapped to become the Spiritual Leader of the Valley of Peace, he needs to find and train a new Dragon Warrior, while a wicked sorceress plans to re-summon all the master villains whom Po has vanquished to the spirit realm.",po tapped become spiritual leader valley peace need find train new dragon warrior wicked sorceress plan resummon master villain po vanquished spirit realm
Freaky Tales,"Four interconnected stories set in 1987 Oakland, CA. will tell about the love of music, movies, people, places and memories beyond our knowable universe.",four interconnected story set oakland ca tell love music movie people place memory beyond knowable universe
Horizon: An American Saga - Chapter 1,"Chronicles a multi-faceted, 15-year span of pre-and post-Civil War expansion and settlement of the American west.",chronicle multifaceted year span preand postcivil war expansion settlement american west
The Fable,"After discovering burned trees in his orchards, a wealthy landowner grows suspicious of his workers and nomads passing through his vast estate.",discovering burned tree orchard wealthy landowner grows suspicious worker nomad passing vast estate
Megalopolis,"The city of New Rome faces the duel between Cesar Catilina, a brilliant artist in favor of a Utopian future, and the greedy mayor Franklyn Cicero. Between them is Julia Cicero, with her loyalty divided between her father and her beloved.",city new rome face duel cesar catilina brilliant artist favor utopian future greedy mayor franklyn cicero julia cicero loyalty divided father beloved
Fight or Flight,A mercenary takes on the job of tracking down a target on a plane but must protect that target when they're surrounded by people trying to kill both of them.,mercenary take job tracking target plane must protect target theyre surrounded people trying kill
Sleeping Dogs,"An ex-homicide detective with memory loss is forced to solve a brutal murder, only to uncover chilling secrets from his forgotten past.",exhomicide detective memory loss forced solve brutal murder uncover chilling secret forgotten past
The Return,"After 20 years Odysseus finally returns to Ithaca, where he finds his wife held prisoner by suitors vying to be king and his son facing death at their hands. To win back his family and all he has lost, Odysseus must rediscover his strength.",year odysseus finally return ithaca find wife held prisoner suitor vying king son facing death hand win back family lost odysseus must rediscover strength
Mufasa: The Lion King,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",mufasa cub lost alone meet sympathetic lion named taka heir royal bloodline chance meeting set motion expansive journey group misfit searching destiny
Argylle,A reclusive author who writes espionage novels about a secret agent and a global spy syndicate realizes that the plot of the new book she's writing starts to mirror real-world events in real time.,reclusive author writes espionage novel secret agent global spy syndicate realizes plot new book shes writing start mirror realworld event real time
Shelby Oaks,A woman's obsessive search for her missing sister leads her into a terrifying mystery at the hands of an unknown evil.,woman obsessive search missing sister lead terrifying mystery hand unknown evil
Strange Harvest,"Detectives are thrust into a chilling hunt for ""Mr. Shiny""-a sadistic serial killer from the past whose return marks the beginning of a new wave of grotesque, otherworldly crimes tied to a dark cosmic force.",detective thrust chilling hunt mr shinya sadistic serial killer past whose return mark beginning new wave grotesque otherworldly crime tied dark cosmic force
Emilia Pérez,"It follows three remarkable women in Mexico, each pursuing their own happiness. Cartel leader Emilia enlists unappreciated lawyer Rita to help fake her death so that she can finally live authentically as her true self.",follows three remarkable woman mexico pursuing happiness cartel leader emilia enlists unappreciated lawyer rita help fake death finally live authentically true self
Transformers One,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but who once were friends bonded like brothers who changed the fate of Cybertron forever.",untold origin story optimus prime megatron better known sworn enemy friend bonded like brother changed fate cybertron forever
On Swift Horses,"Muriel and her husband Lee are about to begin a bright new life, which is upended by the arrival of Lee's brother. Muriel embarks on a secret life, gambling on racehorses and discovering a love she never thought possible.",muriel husband lee begin bright new life upended arrival lee brother muriel embarks secret life gambling racehorse discovering love never thought possible
Bad Boys: Ride or Die,"When their late police captain gets linked to drug cartels, wisecracking Miami cops Mike Lowrey and Marcus Burnett embark on a dangerous mission to clear his name.",late police captain get linked drug cartel wisecracking miami cop mike lowrey marcus burnett embark dangerous mission clear name
Queer,"In 1950s Mexico City, an American immigrant in his late forties leads a solitary life amidst a small American community. However, the arrival of a young student stirs the man into finally establishing a meaningful connection with someone.",mexico city american immigrant late forty lead solitary life amidst small american community however arrival young student stir man finally establishing meaningful connection someone
It's What's Inside,"A group of friends gather for a pre-wedding party that descends into an existential nightmare when an estranged friend arrives with a mysterious game that awakens long-hidden secrets, desires and grudges.",group friend gather prewedding party descends existential nightmare estranged friend arrives mysterious game awakens longhidden secret desire grudge
The Lord of the Rings: The War of the Rohirrim,"A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the Hornburg.",sudden attack wulf clever traitorous lord rohan seeking vengeance death father force helm hammerhand king rohan people make daring last stand ancient stronghold hornburg
Here,"A generational story about families and the special place they inhabit, sharing in love, loss, laughter, and life.",generational story family special place inhabit sharing love loss laughter life
Lola,"Lola James works to save enough money to get her little brother, Arlo, out of their toxic home. Arlo keeps her hopeful, until one tragic night, when her whole world gets uprooted. From that moment on, nothing will ever be the same.",lola james work save enough money get little brother arlo toxic home arlo keep hopeful one tragic night whole world get uprooted moment nothing ever
Red One,"After Santa Claus is kidnapped, the North Pole's Head of Security must team up with a notorious hacker in a globe-trotting, action-packed mission to save Christmas.",santa claus kidnapped north pole head security must team notorious hacker globetrotting actionpacked mission save christmas
The Strangers: Chapter 1,"After their car breaks down in an eerie small town, a young couple is forced to spend the night in a remote cabin. Panic ensues as they are terrorized by three masked strangers who strike with no mercy and seemingly no motive.",car break eerie small town young couple forced spend night remote cabin panic ensues terrorized three masked stranger strike mercy seemingly motive
Saturday Night,"At 11:30pm on October 11th, 1975, a ferocious troupe of young comedians and writers changed television forever. Find out what happened behind the scenes in the 90 minutes leading up to the first broadcast of Saturday Night Live (1975).",pm october th ferocious troupe young comedian writer changed television forever find happened behind scene minute leading first broadcast saturday night live
The Unholy Trinity,Buried secrets of an 1870s Montana town spark violence when a young man returns to reclaim his legacy and is caught between a sheriff determined to maintain order and a mysterious stranger hell-bent on destroying it.,buried secret montana town spark violence young man return reclaim legacy caught sheriff determined maintain order mysterious stranger hellbent destroying
I Saw the TV Glow,A teenager just trying to make it through life in the suburbs is introduced by a classmate to a mysterious late-night TV show.,teenager trying make life suburb introduced classmate mysterious latenight tv show
Parthenope,"A woman born in the sea of Naples in 1950 searches for happiness over the long summers of her youth, falling in love with her home city and its many memorable characters.",woman born sea naples search happiness long summer youth falling love home city many memorable character
Godzilla x Kong: The New Empire,"Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries.",two ancient titan godzilla kong clash epic battle human unravel intertwined origin connection skull island mystery
Beetlejuice Beetlejuice,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",family tragedy three generation deetz family return home winter river still haunted beetlejuice lydia life turned upside teenage daughter astrid accidentally open portal afterlife
Back to Black,"The life and music of Amy Winehouse, through the journey of adolescence to adulthood and the creation of one of the best-selling albums of our time.",life music amy winehouse journey adolescence adulthood creation one bestselling album time
Despicable Me 4,"Gru, Lucy, Margo, Edith, and Agnes welcome a new member to the family, Gru Jr., who is intent on tormenting his dad. Gru faces a new nemesis in Maxime Le Mal and his girlfriend Valentina, and the family is forced to go on the run.",gru lucy margo edith agnes welcome new member family gru jr intent tormenting dad gru face new nemesis maxime le mal girlfriend valentina family forced go run
The Assessment,"In the near future where parenthood is strictly controlled, a couple's seven-day assessment for the right to have a child unravels into a psychological nightmare.",near future parenthood strictly controlled couple sevenday assessment right child unravels psychological nightmare
Young Hearts,Elias develops feelings for his new neighbor Alexander. He soon realizes he's falling in love for the first time.,elia develops feeling new neighbor alexander soon realizes he falling love first time
Maharaja,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the elusive ""lakshmi"" unfolds.",barber seek vengeance home burglarized cryptically telling police lakshmi taken leaving uncertain person object quest recover elusive lakshmi unfolds
Better Man,"A singular profile of pop superstar Robbie Williams, chronicling his meteoric rise, dramatic fall, and remarkable resurgence.",singular profile pop superstar robbie williams chronicling meteoric rise dramatic fall remarkable resurgence
Drive-Away Dolls,"Jamie regrets her breakup with her girlfriend, while Marian needs to relax. In search of a fresh start, they embark on an unexpected road trip to Tallahassee. Things quickly go awry when they cross paths with a group of inept criminals.",jamie regret breakup girlfriend marian need relax search fresh start embark unexpected road trip tallahassee thing quickly go awry cross path group inept criminal
Horizon: An American Saga - Chapter 2,The continuation of one story of the settlement of the American west. It follows the further adventures of characters first featured in Horizon: An American Saga.,continuation one story settlement american west follows adventure character first featured horizon american saga
The Penguin Lessons,A disillusioned Englishman who goes to work in a school in a divided Argentina in 1976 finds his life transformed when he rescues an orphaned penguin from the beach.,disillusioned englishman go work school divided argentina find life transformed rescue orphaned penguin beach
The Six Triple Eight,"During World War II, 855 women joined the fight to fix the three-year backlog of undelivered mail. Faced with discrimination and a country devastated by war, they managed to sort more than 17 million pieces of mail ahead of time.",world war ii woman joined fight fix threeyear backlog undelivered mail faced discrimination country devastated war managed sort million piece mail ahead time
Year 10,"Following a catastrophic event that has destroyed civilization, a young man must confront a group of cannibals who have murdered his father and stolen the medicine keeping his girlfriend alive.",following catastrophic event destroyed civilization young man must confront group cannibal murdered father stolen medicine keeping girlfriend alive
Strangers,"A frustrated woman encounters a mysterious hitman. Their romance leads to vigilante killings of criminals. As she delves deeper, she questions her partner's true nature and their hidden motives.",frustrated woman encounter mysterious hitman romance lead vigilante killing criminal delf deeper question partner true nature hidden motif
A Different Man,"An aspiring actor undergoes a radical medical procedure to drastically transform his appearance, but his new dream face quickly turns into a nightmare.",aspiring actor undergoes radical medical procedure drastically transform appearance new dream face quickly turn nightmare
September 5,"During the 1972 Summer Olympics in Munich, Germany, an American sports broadcasting team must adapt to live coverage of the Israeli athletes being held hostage by a terrorist group.",summer olympics munich germany american sport broadcasting team must adapt live coverage israeli athlete held hostage terrorist group
All of You,A stirring near-futuristic romance of two best friends who harbor an unspoken love for one another even after a test matches one of them up with their supposed soulmate.,stirring nearfuturistic romance two best friend harbor unspoken love one another even test match one supposed soulmate
The Beldham,"A struggling new mother fights a generations-old presence lurking within her family home, threatening her safety, her sanity, and the life of her infant child.",struggling new mother fight generationsold presence lurking within family home threatening safety sanity life infant child
The Containment,A dark and sinister being enters the body of an innocent child.,dark sinister enters body innocent child
Land of Bad,A Delta Force team fights for survival as an Air Force drone pilot becomes its eyes in the sky.,delta force team fight survival air force drone pilot becomes eye sky
